initial_portfolio_value,final_portfolio_value,total_pnl,final_pnl_simple,total_trades,total_hedges,final_inventory,final_cash,final_underlying_shares,final_underlying_price,simulation_steps,price_return,run_id,seed,sharpe_ratio,max_drawdown,pnl_volatility
50000.0,50011.77940587165,11.77940587165358,13.658752187388586,5,5,-9,49483.83683471672,5.385571883683099,98.37802352539259,62,-0.016219764746074117,0,1000,1.179454346622989,0.0,9.987165595158768
50000.0,49999.683797298225,-0.3162027017751825,-0.3162027017885747,3,3,2,49999.68379730117,-3.19596710207648e-11,92.62157244555543,62,-0.07378427554444567,1,1001,-0.9418186481435881,-0.48125124593207147,0.33573629317963427
50000.0,50013.20788469581,13.207884695810208,13.207884695810208,10,10,13,50013.20788469581,-1.0842021724855044e-18,88.10737268247546,62,-0.1189262731752454,2,1002,2.317591272393932,0.0,5.698970674051279
50000.0,50002.49095607776,2.49095607775962,2.49095607775962,4,4,-6,50002.49095607776,0.0,86.42895013355738,62,-0.1357104986644262,3,1003,4.041491529935652,0.0,0.6163457375349938
50000.0,50012.72538532143,12.725385321427893,29.727302555354584,3,3,-5,49539.72791373123,4.521832097017272,108.36302151673058,62,0.08363021516730584,4,1004,3.2998147120775623,0.0,3.8563938983761896
50000.0,50013.94127986193,13.941279861930525,51.5714979186198,6,6,-4,49615.09312668633,3.815994865085721,114.38127845134858,62,0.14381278451348578,5,1005,2.858334491303702,0.0,4.8774137191941564
50000.0,50014.248463922835,14.248463922835072,14.248464783582612,10,10,-16,50014.248413177316,5.762820744115334e-07,89.5503584987207,62,-0.10449641501279305,6,1006,2.665428719166161,0.0,5.345655586427569
50000.0,49997.62494639076,-2.3750536092411494,5.829747728962211,3,3,-3,49977.78772918476,0.25508212487565535,109.93329523921022,62,0.09933295239210227,7,1007,-1.90765227447469,-2.3750536092411494,1.245013905846739
50000.0,50028.0707933187,28.070793318700453,31.295449671557463,4,4,4,50174.905652007714,-1.7715970586427279,81.0625653477774,62,-0.18937434652222607,8,1008,3.5116009664966223,-1.0072226396514452,7.993730946801029
50000.0,50006.18699027804,6.186990278038138,6.202226115806583,5,5,-10,50001.44500353707,0.06442387363572394,73.84254175148475,62,-0.26157458248515253,9,1009,2.7350614188759144,0.0,2.262102867357522
50000.0,50013.32191164184,13.321911641840416,13.321898470531028,6,6,3,50013.3235804128,-2.0584526738365305e-05,81.70905692353378,62,-0.18290943076466215,10,1010,2.698487609221039,-0.1334014203530387,4.936806675086419
50000.0,50000.506569004385,0.5065690043848008,3.874523299660524,2,2,-3,49834.80687603079,1.6009751871785403,105.60291541234187,62,0.0560291541234188,11,1011,0.5913706515617948,-2.5100565453176387,0.856601529086648
50000.0,50000.25478303612,0.2547830361218075,0.25491091529181564,1,1,-1,50000.237223714415,0.00021117238986883492,83.7571658271805,62,-0.16242834172819498,12,1012,2.3708380701220184,0.0,0.10746538927843975
50000.0,50007.203116864286,7.20311686428613,-37.35128525539744,4,4,4,50427.107009432686,-3.999888365192708,116.11781436947844,62,0.16117814369478434,13,1013,2.963219570756944,0.0,2.4308414183583835
50000.0,49986.385662163004,-13.614337836996128,-26.276334616351107,4,4,8,50412.61299768813,-4.10649684431226,106.87682200763558,62,0.06876822007635575,14,1014,-3.505758751503208,-13.614337836996128,3.8834211941020014
50000.0,50001.535342134586,1.5353421345862444,-27.625051686413627,5,5,2,50197.06648769749,-1.8788952075637582,119.58705226314784,62,0.1958705226314783,15,1015,1.2774735574467053,-0.3504730330532766,1.2018582503225683
50000.0,50007.69033765405,7.690337654050381,4.91527635766117,7,7,1,50060.95415013916,-0.5140525437151654,109.01390230751875,62,0.09013902307518751,16,1016,2.2658711246741534,-0.2306705065711867,3.393987226504906
50000.0,50000.55746538574,0.5574653857402154,-129.3941880605364,5,5,10,51020.65508219998,-9.747832239652086,117.98000232116843,62,0.1798000232116843,17,1017,0.34790133424167474,-1.216005850903457,1.6023663345681909
50000.0,49999.03490196791,-0.9650980320875533,-1.0599344446967063,3,3,-8,49990.36582578466,0.0916290246932979,93.57558698612429,62,-0.06424413013875707,18,1018,-0.6508883352669811,-4.663318187078403,1.4827397877574344
50000.0,50006.60653900315,6.606539003150829,-0.12195217945335912,5,5,6,50127.28916610888,-1.2030955470807596,105.90274280167411,62,0.0590274280167411,19,1019,1.2574686067307241,-1.185940646661038,5.253840110034302
50000.0,50001.45663398281,1.456633982808853,1.2580345849790149,7,7,5,50039.57371358647,-0.3839517723354311,99.792947349691,62,-0.00207052650308992,20,1020,1.3655983907619038,-1.508248104553786,1.0666635173728918
50000.0,49999.880315791626,-0.11968420837365557,-0.06927394286040389,6,6,-3,49990.16721970624,0.09676875960249529,100.89523097126015,62,0.008952309712601414,21,1021,-0.06900001952830985,-3.674856864512549,1.7345532536342343
50000.0,50001.4158762992,1.4158762992010452,1.4158700487204747,7,7,10,50001.41860150261,-3.2279945611571326e-05,84.61767333342696,62,-0.15382326666573032,22,1022,2.2641950743060266,0.0,0.625333177016565
50000.0,50005.41885470213,5.418854702133103,5.513974394069974,4,4,3,50010.647235589706,-0.05560231285047386,92.32100127633619,62,-0.0767899872366381,23,1023,2.204215749400504,-0.04919875115592731,2.4584048560613483
50000.0,50000.0,0.0,0.0,0,0,0,50000.0,0.0,116.79105439236496,62,0.16791054392364946,24,1024,0.0,0.0,0.0
50000.0,50005.40126581398,5.401265813983628,-11.682605701413905,5,5,2,50215.31752632997,-1.999644912197713,113.52022083855874,62,0.1352022083855875,25,1025,2.4547480103759236,-1.5445097776973853,2.200334124379826
